glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,O,HT29_cell_line; aorta; bone_marrow_mast_cells; brain; colon; eye; heart; heart; ,"['Sjogrens_syndrome', 'cholangiocarcinoma', 'pancreatic_cancer', 'stomach_cancer",24
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,A9_fibroblast_cell_line; CHOK1_cell_line; HeLaEV2_cell_line; HeLaPF_cell_line; M,['filarial_elephantiasis'],24
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; C10_cell_line; COLO_320_cell_line; Cal-27_cell_line; Co_115_cell_,[],23
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,C10_cell_line; HCT_8_cell_line; KM12_cell_line; LS180_cell_line; LoVo_cell_line;,[],23
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,HCT116_cell_line; cervical_mucus; colon; colon; colonic_mucosa; colonic_mucosa; ,"['Parkinson_disease', 'colorectal_cancer', 'colorectal_cancer', 'liver_cancer']",22
Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,A549_cell_line; CHOK1_cell_line; HEK293_cell_line; alveolus_of_lung; digestive_t,[],22
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; C10_cell_line; COLO_320_cell_line; Cal-27_cell_line; Co_115_cell_,[],22
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CHOK1_cell_line; HEK293_cell_line; NS0_cell_line; blood_serum; brain; cerebellum,"['chronic_low_back_pain', 'gastric_cancer', 'gastric_polyps', 'gastritis', 'lung",21
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; AML_193_cell_line; Cal-27_cell_line; FaDu_cell_line; KG_1_cell_li,[],21
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,albumen; blood_serum; heart; heart; kidney; kidney; lung; muscle_structure; musc,[],21
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; colon; heart; heart; heart; heart; kidney; kidney; liver; liver; ,[],21
GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,egg_white; egg_white; egg_white; egg_white; heart; milk; milk; milk; muscle_stru,[],19
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,AML_193_cell_line; EOL_1_cell_line; HEL_cell_line; HL_60_cell_line; KG_1_cell_li,"['colorectal_adenocarcinoma', 'liver_cancer']",19
Gal(b1-3)GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-4)Glc1Cer,lipid,adrenal_gland; aorta; erythrocyte; erythrocyte; iPS1A_cell_line; iPS2A_cell_line,['colon_cancer'],19
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; brain; liver; lung; milk; milk; milk; milk; muscle_structure; neu,['filarial_elephantiasis'],18
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CRL_1620_cell_line; LS174T_cell_line; LS180_cell_line; LS411N_cell_line; LoVo_ce,[],18
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; COLO_205_cell_line; HL_60_cell_line; K562_cell_line; MDCK_SIAT1_cell_lin,"['lung_non_small_cell_carcinoma', 'type_1_diabetes_mellitus']",18
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; HL60_cell_line; K562_cell_line; T_cells; colon; dendritic_cells; forebra,[],18
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; HEK293_cell_line; K562_cell_line; T_cell; brain; colon; erythrocyte; hCK,"['lung_non_small_cell_carcinoma', 'type_1_diabetes_mellitus']",18
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,cornea; kidney; liver; lung; milk; milk; milk; milk; muscle_structure; neutrophi,['filarial_elephantiasis'],18
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A9_fibroblast_cell_line; B_cell; HeLaEV2_cell_line; HeLaPF_cell_line; K562_cell_,[],18
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; kidney; kidney; liver; lung; muscle_structure; muscle_stru,[],17
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; Cal-27_cell_line; NS0_cell_line; SCC-9_cell_line; SCC_25_cell_lin,['benign_breast_tumor_tissues_vs_para_carcinoma_tissues'],17
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HEK293_cell_line; K562_cell_line; brain; cerebellum; cortex; forebrain; hCK_cell,[],17
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CHOK1_cell_line; NS0_cell_line; cornea; heart; kidney; kidney; liver; liver; lun,[],17
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,SW1398_cell_line; SW48_cell_line; blood_serum; brain; kidney; liver; lung; mamma,['diabetic_kidney_disease'],17
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CRL_1620_cell_line; MDA_MB_231BR_cell_line; brain; cerebellum; cortex; forebrain,['colorectal_cancer'],17
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; HL60_cell_line; HeLaEV2_cell_line; K562_cell_line; T_cell; colon; dendri,[],17
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; Cal-27_cell_line; FaDu_cell_line; SCC-9_cell_line; SCC_25_cell_li,[],16
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,HL_60_cell_line; HeLaEV2_cell_line; HeLaPF_cell_line; K562_cell_line; dendritic_,[],16
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Apo_H; amniotic_fluid; blood_serum; blood_serum; egg_yolk; heart; kidney; liver;,"['influenza', 'thyroid_gland_papillary_carcinoma']",16
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; Cal-27_cell_line; FaDu_cell_line; SCC-9_cell_line; SCC_25_cell_li,[],16
GlcNAc(b1-3)GalNAc,O,cervical_mucus; colonic_mucosa; colonic_mucosa; heart; intestinal_mucosa; intest,[],16
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; HL60_cell_line; K562_cell_line; T_cells; colon; heart; lung; milk; milk;,[],16
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; Cal-27_cell_line; FaDu_cell_line; SCC-9_cell_line; SCC_25_cell_li,['colorectal_cancer'],16
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Caco_2_cell_line; Co_115_cell_line; DLD_1_cell_line; HCT_8_cell_line; LS411N_cel,[],15
Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,O,actinopterygian_pyloric_caecum; cervical_mucus; colonic_mucosa; heart; heart; il,[],15
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; liver; lung; milk; milk; muscle_structure; muscle_structure; neutrophil; ,[],15
{Fuc(a1-2/3/4)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; Cal-27_cell_line; FaDu_cell_line; HL_60_cell_line; HeLaEV2_cell_l,[],14
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,HEK293_cell_line; HL60_cell_line; T_cell; dendritic_cells; heart; kidney; milk; ,[],14
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,HEL92_1_7_cell_line; HEL_cell_line; ME_1_cell_line; ML_1_cell_line; NB_4_cell_li,[],14
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc1Cer,lipid,adrenal_gland; adrenal_gland; adrenal_gland; adrenal_medulla; erythrocyte; eryth,[],14
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,HL60_cell_line; K562_cell_line; T_cells; colon; dendritic_cells; heart; kidney; ,"['chronic_low_back_pain', 'lung_non_small_cell_carcinoma', 'type_1_diabetes_mell",14
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,liver; lung; milk; milk; milk; milk; milk; ovary; plasma; plasma; regular_atrial,[],14
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; C10_cell_line; COLO_205_cell_line; Cal-27_cell_line; FaDu_cell_li,[],13
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,COLO_205_cell_line; Co_115_cell_line; HCT_116_cell_line; LS180_cell_line; LS411N,"['cholangiocarcinoma', 'pancreatic_cancer', 'staphyloenterotoxemia', 'stomach_ca",13
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,NS0_cell_line; blood_serum; blood_serum; blood_serum; colon; heart; liver; mecon,[],13
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A9_fibroblast_cell_line; CHOK1_cell_line; MDCK_SIAT1_cell_line; MDCK_cell_line; ,[],13
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; COLO_205_cell_line; Cal-27_cell_line; FaDu_cell_line; HCT_116_cel,[],13
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-4)Glc1Cer,lipid,adipose_tissue; adipose_tissue; adrenal_medulla; aorta; kidney; macrophage; skel,[],13
Neu5Gc(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-4)Glc1Cer,lipid,adrenal_medulla; aorta; kidney; kidney; liver; lymphocyte; macrophage; skeletal_,['thymic_carcinoma'],13
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; heart; heart; heart; kidney; kidney; liver; liver; lung; muscle_structure,[],13
Neu5Gc(a2-3)Gal(b1-3)GalNAc,O,cervical_mucus; colonic_mucosa; heart; heart; heart; ileum; intestinal_mucosa; i,[],13
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,brain; liver; lung; milk; milk; milk; muscle_structure; regular_atrial_cardiac_m,[],12
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,aorta; aorta; cardial_valve; erythrocyte; erythrocyte; erythrocyte; intestine; i,[],12
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; Cal-27_cell_line; FaDu_cell_line; SCC-9_cell_line; SCC_25_cell_li,['LPS_induced_inflammation'],12
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,B_cell; HL_60_cell_line; HeLaPF_cell_line; K562_cell_line; THP1_cell_line; heart,['Crohn_disease'],12
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,HEL92_1_7_cell_line; HEL_cell_line; HL_60_cell_line; ML_1_cell_line; NB_4_cell_l,[],12
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,MDCK_cell_line; NS0_cell_line; iPS1A_cell_line; liver; lung; milk; muscle_struct,[],12
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,aorta; erythrocyte; kidney; lymphocyte; skeletal_muscle_tissue; skeletal_muscle_,['colon_cancer'],11
Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A549_cell_line; CHOK1_cell_line; HEK293_cell_line; alveolus_of_lung; heart; iPS1,[],11
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,COLO_205_cell_line; Caco_2_cell_line; LoVo_cell_line; SW1116_cell_line; SW480_ce,[],11
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,CHOK1_cell_line; CRL_1620_cell_line; HEK293_cell_line; NS0_cell_line; colon; hea,"['benign_breast_tumor_tissues_vs_para_carcinoma_tissues', 'gastric_cancer', 'gas",11
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; cornea; liver; lung; milk; muscle_structure; neutrophil; regular_,[],11
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,,LS174T_cell_line; LS180_cell_line; SW1116_cell_line; T84_cell_line; cervical_muc,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer', 'colorectal_canc",11
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,O,LS174T_cell_line; blood_serum; cervical_mucus; heart; meconium; milk; mucosa; mu,"['Parkinson_disease', 'colorectal_cancer']",11
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A9_fibroblast_cell_line; HL_60_cell_line; K562_cell_line; colon; heart; kidney; ,"['lung_non_small_cell_carcinoma', 'type_2_diabetes_mellitus']",10
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,O,C10_cell_line; HCT116_cell_line; LS411N_cell_line; SW1116_cell_line; T84_cell_li,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer', 'colorectal_canc",10
GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,lipid,Nil1_cell_line; adrenal_gland; erythrocyte; erythrocyte; erythrocyte; heart; kid,[],10
Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,O,cervical_mucus; colon; colonic_mucosa; heart; heart; mucosa_of_stomach; spleen; ,[],10
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; kidney; liver; muscle_structure; muscle_structure; muscle_,[],10
Gal(a1-4)Gal1Cer,lipid,Nil1_cell_line; erythrocyte; heart; kidney; kidney; liver; lung; meconium; neutr,"['Fabry_disease', 'lung_small_cell_carcinoma']",10
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,AML_193_cell_line; EOL_1_cell_line; KG_1a_cell_line; Kasumi_1_cell_line; ME_1_ce,[],10
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,erythrocyte; kidney; kidney; pancreas; pericardium; renal_vein; small_intestine;,[],9
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,blood_serum; heart; heart; kidney; kidney; liver; muscle_structure; muscle_struc,[],9
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; kidney; muscle_of_leg; muscle_structure; muscle_structure; ovary;,[],9
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,alveolus_of_lung; amniotic_fluid; blood_serum; heart; kidney; muscle_of_leg; pit,[],9
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,colon; heart; heart; kidney; kidney; liver; muscle_structure; muscle_structure; ,[],9
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,alveolus_of_lung; blood; blood_serum; blood_serum; brain; colon; heart; heart; i,"['atrial_fibrillation', 'colorectal_cancer', 'cystic_fibrosis']",9
{Fuc(a1-2/3/4)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,K562_cell_line; PBMC_cell; T_cells; bone_marrow_mast_cell; heart; kidney; monocy,[],9
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL60_cell_line; K562_cell_line; T_cells; heart; milk; monocyte; pancreas; regula,[],9
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,lipid,ML_1_cell_line; brain; brain; brain; brain; islet_of_Langerhans; liver; muscle_s,[],9
{GlcNAc(b1-2/4)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; kidney; kidney; liver; liver; muscle_structure; muscle_structure; muscle_,[],8
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; muscle_structure; muscle_structure; muscle_structure; plasma; pla,['thyroid_gland_papillary_carcinoma'],8
Neu5Gc(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,O,A549_cell_line; HEK293_cell_line; brain; colon; heart; heart; mucosa_of_stomach;,[],8
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; brain; forebrain; heart; hindbrain; lung; milk; sperm,[],8
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; kidney; liver; muscle_structure; muscle_structure; muscle_,[],8
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,HEK293_cell_line; HL60_cell_line; dendritic_cells; heart; milk; milk; milk; sple,['lung_non_small_cell_carcinoma'],8
