# Galectin-8 C-CRD Targeted Glycan Binding — Ocular-Relevant Epitopes
# Gal-8C binding scores organised by glycan class: LacNAc, Tn antigen, Core 2, Core 3, Sialyl-T, and Sialyl-Tn.
# All glycans were selected for relevance to the ocular surface and overlap with known Galectin-3 target epitopes.
# Scores are log-scale RFU values from glycan microarray data in the glycowork glycan_binding dataset.
# Generated in galectin8_analysis_enhanced.ipynb to compare Gal-8C vs Gal-3 affinity on shared ocular glycan structures.
glycan_class,glycan,gal8c_score,status
LacNAc,GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc,-0.3306,MEASURED
LacNAc,Fuc(a1-2)Gal(b1-4)GlcNAc6S,-0.332,MEASURED
LacNAc,Fuc(a1-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc,-0.3339,MEASURED
LacNAc,GlcNAc(a1-3)Gal(b1-4)GlcNAc,-0.3386,MEASURED
LacNAc,Gal(b1-4)GlcNAc(b1-3)GalNAc,-0.3421,MEASURED
LacNAc,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,-0.3484,MEASURED
Tn antigen,Neu5Ac(a2-3)Gal(b1-3)GalNAc6S,0.3685,MEASURED
Tn antigen,Gal3S(b1-3)GalNAc,0.2032,MEASURED
Tn antigen,Neu5Ac(a2-3)Gal(b1-3)GalNAc,0.1308,MEASURED
Tn antigen,Gal(a1-4)Gal(b1-4)GalNAc,-0.1734,MEASURED
Tn antigen,Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,-0.1798,MEASURED
Tn antigen,Neu5Ac(a2-3)[Neu5Ac(a2-6)]GalNAc,-0.1879,MEASURED
Tn antigen,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,-0.2235,MEASURED
Tn antigen,Fuc(a1-2)Gal(b1-3)GalNAc,-0.2672,MEASURED
Tn antigen,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GalNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GalNAc,-0.2739,MEASURED
Tn antigen,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,-0.2833,MEASURED
Tn antigen,GlcNAc(b1-3)Gal(b1-3)GalNAc,-0.2929,MEASURED
Tn antigen,Fuc(a1-2)[Gal(a1-4)]Gal(b1-4)GalNAc,-0.2931,MEASURED
Tn antigen,Gal(b1-3)GalNAc,-0.2954,MEASURED
Tn antigen,GalNAc(a1-3)GalNAc,-0.2968,MEASURED
Tn antigen,Gal(b1-3)[GlcNAc(b1-6)]GalNAc,-0.3026,MEASURED
Tn antigen,Gal(b1-4)GlcNAc(b1-6)GalNAc,-0.3056,MEASURED
Tn antigen,GlcNAc(b1-6)GalNAc,-0.3115,MEASURED
Tn antigen,Neu5Gc(a2-6)GalNAc,-0.3237,MEASURED
Tn antigen,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GalNAc,-0.3304,MEASURED
Tn antigen,GlcNAc(b1-4)[GlcNAc(b1-6)]GalNAc,-0.3419,MEASURED
Tn antigen,Gal(b1-4)GlcNAc(b1-3)GalNAc,-0.3421,MEASURED
Tn antigen,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,-0.3484,MEASURED
Tn antigen,Neu5Ac(a2-3)GalNAc,-0.3538,MEASURED
Tn antigen,Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,-0.3558,MEASURED
Tn antigen,Neu5Ac(a2-6)GalNAc,-0.3635,MEASURED
Tn antigen,GlcNAc(b1-3)GalNAc,-0.3668,MEASURED
Core 3,Gal(b1-4)GlcNAc(b1-3)GalNAc,-0.3421,MEASURED
Core 3,GlcNAc(b1-3)GalNAc,-0.3668,MEASURED
Sialyl-Tn,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc,-0.3393,MEASURED
Sialyl-Tn,Neu5Ac(a2-6)GalNAc,-0.3635,MEASURED
Sialyl-T,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,0.6058,MEASURED
Sialyl-T,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc,0.5943,MEASURED
Sialyl-T,Neu5Ac(a2-3)Gal(b1-3)GalNAc6S,0.3685,MEASURED
Sialyl-T,Neu5Ac(a2-3)Gal(b1-3)GalNAc,0.1308,MEASURED
Core 2,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,-0.2235,MEASURED
Core 2,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GlcNAc,-0.2818,MEASURED
Core 2,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,-0.2833,MEASURED
Core 2,GlcNAc(b1-6)Gal(b1-4)GlcNAc,-0.2932,MEASURED
Core 2,GlcNAc(b1-3)[GlcNAc(b1-4)][GlcNAc(b1-6)]GlcNAc,-0.2989,MEASURED
Core 2,Gal(b1-3)[GlcNAc(b1-6)]GalNAc,-0.3026,MEASURED
Core 2,Gal(b1-4)GlcNAc(b1-6)GalNAc,-0.3056,MEASURED
Core 2,GlcNAc(b1-6)GalNAc,-0.3115,MEASURED
Core 2,Gal(b1-3)[GlcNAc(b1-6)]GlcNAc,-0.3198,MEASURED
Core 2,GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc,-0.3306,MEASURED
Core 2,GlcNAc(b1-3)[GlcNAc(b1-6)]GlcNAc,-0.3315,MEASURED
Core 2,GlcNAc(b1-4)[GlcNAc(b1-6)]GalNAc,-0.3419,MEASURED
Core 2,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,-0.3484,MEASURED
